State;ShortName;Capital
Alabama (Алабама);AL;Montgomery
Alaska (Аляска);AK;Juneau
Arizona (Аризона);AZ;Phoenix
Arkansas (Арканзас);AR;Little Rock
California (Калифорния);CA;Sacramento
Colorado (Колорадо);CO;Denver
Connecticut (Коннектикут);CT;Hartford
Delaware (Делавэр);DE;Dover
Florida (Флорида);FL;Tallahassee
Georgia (Джорджия);GA;Atlanta
Hawaii (Гавайи);HI;Honolulu
Idaho (Айдахо);ID;Boise
Illinois (Иллинойс);IL;Springfield
Indiana (Индиана);IN;Indianapolis
Iowa (Айова);IA;Des Moines
Kansas (Канзас);KS;Topeka
Kentucky (Кентукки);KY;Frankfort
Louisiana (Луизиана);LA;Baton Rouge
Maine (Мэн);ME;Augusta
Maryland (Мэриленд);MD;Annapolis
Massachusetts (Массачусетс);MA;Boston
Michigan (Мичиган);MI;Lansing
Minnesota (Миннесота);MN;St. Paul
Mississippi (Миссисипи);MS;Jackson
Missouri (Миссури);MO;Jefferson City
Montana (Монтана);MT;Helena
Nebraska (Небраска);NE;Lincoln
Nevada (Невада);NV;Carson City
New Hampshire (Нью-Хэмпшир);NH;Concord
New Jersey (Нью-Джерси);NJ;Trenton
New Mexico (Нью-Мексико);NM;Santa Fe
New York (Нью-Йорк);NY;Albany
North Carolina (Северная Каролина);NC;Raleigh
North Dakota (Северная Дакота);ND;Bismarck
Ohio (Огайо);OH;Columbus
Oklahoma (Оклахома);OK;Oklahoma City
Oregon (Орегон);OR;Salem
Pennsylvania (Пенсильвания);PA;Harrisburg
Rhode Island (Род-Айленд);RI;Providence
South Carolina (Южная Каролина);SC;Columbia
South Dakota (Южная Дакота);SD;Pierre
Tennessee (Теннесси);TN;Nashville
Texas (Техас);TX;Austin
Utah (Юта);UT;Salt Lake City
Vermont (Вермонт);VT;Montpelier
Virginia (Вирджиния);VA;Richmond
Washington (Вашингтон);WA;Olympia
West Virginia (Западная Вирджиния);WV;Charleston
Wisconsin (Висконсин);WI;Madison
Wyoming (Вайоминг);WY;Cheyenne
